001 , Cholera
016.0 , Kidney
016.1 , Bladder
016.2 , Ureter
016.3 , Other urinary organs
016.4 , Epididymis
016.5 , Other male genital organs
016.6 , Tuberculous oophoritis and salpingitis
016.7 , Other female genital organs
016.9 , Genitourinary tuberculosis, unspecified
017 , Tuberculosis of other organs
017.0 , Skin and subcutaneous cellular tissue
017.1 , Erythema nodosum with hypersensitivity reaction in tuberculosis
017.2 , Peripheral lymph nodes
017.3 , Eye
017.4 , Ear
017.5 , Thyroid gland
017.6 , Adrenal glands
017.7 , Spleen
017.8 , Esophagus
017.9 , Other specified organs
018 , Miliary tuberculosis
018.0 , Acute miliary tuberculosis
018.8 , Other specified miliary tuberculosis
018.9 , Miliary tuberculosis, unspecified
020 , Plague
020.0 , Bubonic
020.1 , Cellulocutaneous
020.2 , Septicemic
020.3 , Primary pneumonic
020.4 , Secondary pneumonic
020.5 , Pneumonic, unspecified
020.8 , Other specified types of plague
020.9 , Plague, unspecified
021 , Tularemia
021.0 , Ulceroglandular tularemia
021.1 , Enteric tularemia
021.2 , Pulmonary tularemia
021.3 , Oculoglandular tularemia
021.8 , Other specified tularemia
021.9 , Unspecified tularemia
022 , Anthrax
022.0 , Cutaneous anthrax
022.1 , Pulmonary anthrax
022.2 , Gastrointestinal anthrax
022.3 , Anthrax septicemia
022.8 , Other specified manifestations of anthrax
022.9 , Anthrax, unspecified
023 , Brucellosis
023.0 , Brucella melitensis
023.1 , Brucella abortus
023.2 , Brucella suis
023.3 , Brucella canis
023.8 , Other brucellosis
023.9 , Brucellosis, unspecified
024 , Glanders
025 , Melioidosis
026 , Rat-bite fever
026.0 , Spirillary fever
026.1 , Streptobacillary fever
026.9 , Unspecified rat-bite fever
027 , Other zoonotic bacterial diseases
027.0 , Listeriosis
027.1 , Erysipelothrix infection
027.2 , Pasteurellosis
027.8 , Other specified zoonotic bacterial diseases
027.9 , Unspecified zoonotic bacterial disease
030 , Leprosy
030.0 , Lepromatous [type L]
030.1 , Tuberculoid [type T]
030.2 , Indeterminate [group I]
030.3 , Borderline [group B]
030.8 , Other specified leprosy
030.9 , Leprosy, unspecified
031 , Diseases due to other mycobacteria
031.0 , Pulmonary
031.1 , Cutaneous
031.2 , Disseminated
031.8 , Other specified mycobacterial diseases
031.9 , Unspecified diseases due to mycobacteria
032 , Diphtheria
032.0 , Faucial diphtheria
032.1 , Nasopharyngeal diphtheria
032.2 , Anterior nasal diphtheria
032.3 , Laryngeal diphtheria
032.8 , Other specified diphtheria
032.81 , Conjunctival diphtheria
032.82 , Diphtheritic myocarditis
032.83 , Diphtheritic peritonitis
032.84 , Diphtheritic cystitis
032.85 , Cutaneous diphtheria
032.89 , Other
032.9 , Diphtheria, unspecified
033 , Whooping cough
033.0 , Bordetella pertussis [B. pertussis]
033.1 , Bordetella parapertussis [B. parapertussis]
033.8 , Whooping cough due to other specified organism
033.9 , Whooping cough, unspecified organism
034 , Streptococcal sore throat and scarlet fever
034.0 , Streptococcal sore throat
034.1 , Scarlet fever
035 , Erysipelas
036 , Meningococcal infection
036.0 , Meningococcal meningitis
036.1 , Meningococcal encephalitis
036.2 , Meningococcemia
036.3 , Waterhouse-Friderichsen syndrome, meningococcal
036.4 , Meningococcal carditis
036.40 , Meningococcal carditis, unspecified
036.41 , Meningococcal pericarditis
036.42 , Meningococcal endocarditis
036.43 , Meningococcal myocarditis
036.8 , Other specified meningococcal infections
036.81 , Meningococcal optic neuritis
036.82 , Meningococcal arthropathy
036.89 , Other
036.9 , Meningococcal infection, unspecified
037 , Tetanus
038 , Septicemia
038.0 , Streptococcal septicemia
038.1 , Staphylococcal septicemia
038.10 , Staphylococcal septicemia, unspecified
038.11 , Staphylococcus aureus septicemia
038.19 , Other staphylococcal septicemia
038.2 , Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
038.3 , Septicemia due to anaerobes
038.4 , Septicemia due to other gram-negative organisms
038.40 , Gram-negative organism, unspecified
038.41 , Hemophilus influenzae [H. influenzae]
038.42 , Escherichia coli [E. coli]
038.43 , Pseudomonas
038.44 , Serratia
038.49 , Other
038.8 , Other specified septicemias
038.9 , Unspecified septicemia
039 , Actinomycotic infections
039.0 , Cutaneous
039.1 , Pulmonary
039.2 , Abdominal
039.3 , Cervicofacial
039.4 , Madura foot
039.8 , Of other specified sites
039.9 , Of unspecified site
040 , Other bacterial diseases
040.0 , Gas gangrene
040.1 , Rhinoscleroma
040.2 , Whipple's disease
040.3 , Necrobacillosis
040.4 , Other specified botulism
040.41 , Infant botulism
040.42 , Wound botulism
040.8 , Other specified bacterial diseases
040.81 , Tropical pyomyositis
040.82 , Toxic shock syndrome
040.89 , Other
041 , Bacterial infection in conditions classified elsewhere and of unspecified site
041.0 , Streptococcus
041.00 , Streptococcus, unspecified
041.01 , Group A
041.02 , Group B
041.03 , Group C
041.04 , Group D [Enterococcus]
041.05 , Group G
041.09 , Other Streptococcus
041.1 , Staphylococcus
041.10 , Staphylococcus, unspecified
041.11 , Staphylococcus aureus
041.19 , Other Staphylococcus
041.2 , Pneumococcus
041.3 , Friedländer's bacillus
041.4 , Escherichia coli [E.coli]
041.5 , Hemophilus influenzae [H. influenzae]
041.6 , Proteus (mirabilis) (morganii)
041.7 , Pseudomonas
041.8 , Other specified bacterial infections
041.81 , Mycoplasma
041.82 , Bacteroides fragilis
041.83 , Clostridium perfringens
041.84 , Other anaerobes
041.85 , Other gram-negative organisms
041.86 , Helicobacter pylori (H. pylori)
041.89 , Other specified bacteria
041.9 , Bacterial infection, unspecified
042 , Human immunodeficiency virus [HIV] disease
045 , Acute poliomyelitis
0 , poliovirus, unspecified type
1 , poliovirus type I
2 , poliovirus type II
3 , poliovirus type III
045.0 , Acute paralytic poliomyelitis specified as bulbar
045.1 , Acute poliomyelitis with other paralysis
045.2 , Acute nonparalytic poliomyelitis
045.9 , Acute poliomyelitis, unspecified
046 , Slow virus infection of central nervous system
046.0 , Kuru
046.1 , Jakob-Creutzfeldt disease
046.2 , Subacute sclerosing panencephalitis
046.3 , Progressive multifocal leukoencephalopathy
046.8 , Other specified slow virus infection of central nervous system
046.9 , Unspecified slow virus infection of central nervous system
047 , Meningitis due to enterovirus
047.0 , Coxsackie virus
047.1 , ECHO virus
047.8 , Other specified viral meningitis
047.9 , Unspecified viral meningitis
048 , Other enterovirus diseases of central nervous system
049 , Other non-arthropod-borne viral diseases of central nervous system
049.0 , Lymphocytic choriomeningitis
049.1 , Meningitis due to adenovirus
049.8 , Other specified non-arthropod-borne viral diseases of central nervous system
049.9 , Unspecified non-arthropod-borne viral diseases of central nervous system
050 , Smallpox
050.0 , Variola major
050.1 , Alastrim
050.2 , Modified smallpox
050.9 , Smallpox, unspecified
051 , Cowpox and paravaccinia
051.0 , Cowpox
051.1 , Pseudocowpox
051.2 , Contagious pustular dermatitis
051.9 , Paravaccinia, unspecified
052 , Chickenpox
052.0 , Postvaricella encephalitis
052.1 , Varicella (hemorrhagic) pneumonitis
052.2 , Postvaricella myelitis
052.7 , With other specified complications
052.8 , With unspecified complication
052.9 , Varicella without mention of complication
053 , Herpes zoster
053.0 , With meningitis
053.1 , With other nervous system complications
053.10 , With unspecified nervous system complication
053.11 , Geniculate herpes zoster
053.12 , Postherpetic trigeminal neuralgia
053.13 , Postherpetic polyneuropathy
053.14 , Herpes zoster myelitis
053.19 , Other
053.2 , With ophthalmic complications
053.20 , Herpes zoster dermatitis of eyelid
053.21 , Herpes zoster keratoconjunctivitis
053.22 , Herpes zoster iridocyclitis
053.29 , Other
053.7 , With other specified complications
053.71 , Otitis externa due to herpes zoster
053.79 , Other
053.8 , With unspecified complication
053.9 , Herpes zoster without mention of complication
054 , Herpes simplex
054.0 , Eczema herpeticum
054.1 , Genital herpes
054.10 , Genital herpes, unspecified
054.11 , Herpetic vulvovaginitis
054.12 , Herpetic ulceration of vulva
054.13 , Herpetic infection of penis
054.19 , Other
054.2 , Herpetic gingivostomatitis
054.3 , Herpetic meningoencephalitis
054.4 , With ophthalmic complications
054.40 , With unspecified ophthalmic complication
054.41 , Herpes simplex dermatitis of eyelid
054.42 , Dendritic keratitis
054.43 , Herpes simplex disciform keratitis
054.44 , Herpes simplex iridocyclitis
054.49 , Other
054.5 , Herpetic septicemia
054.6 , Herpetic whitlow
054.7 , With other specified complications
054.71 , Visceral herpes simplex
054.72 , Herpes simplex meningitis
054.73 , Herpes simplex otitis externa
054.74 , Herpes simplex myelitis
054.79 , Other
054.8 , With unspecified complication
054.9 , Herpes simplex without mention of complication
055 , Measles
055.0 , Postmeasles encephalitis
055.1 , Postmeasles pneumonia
055.2 , Postmeasles otitis media
055.7 , With other specified complications
055.71 , Measles keratoconjunctivitis
055.79 , Other
055.8 , With unspecified complication
055.9 , Measles without mention of complication
056 , Rubella
056.0 , With neurological complications
056.00 , With unspecified neurological complication
056.01 , Encephalomyelitis due to rubella
056.09 , Other
056.7 , With other specified complications
056.71 , Arthritis due to rubella
056.79 , Other
056.8 , With unspecified complications
056.9 , Rubella without mention of complication
057 , Other viral exanthemata
057.0 , Erythema infectiosum [fifth disease]
057.8 , Other specified viral exanthemata
057.9 , Viral exanthem, unspecified
058 , Other human herpesvirus
058.1 , Roseola infantum
058.10 , Roseola infantum, unspecified
058.11 , Roseola infantum due to human herpesvirus 6
058.12 , Roseola infantum due to human herpesvirus 7
058.2 , Other human herpesvirus encephalitis 
058.21 , Human herpesvirus 6 encephalitis
058.29 , Other human herpesvirus encephalitis
058.8 , Other human herpesvirus infections
058.81 , Human herpesvirus 6 infection
058.82 , Human herpesvirus 7 infection
058.89 , Other human herpesvirus infection
060 , Yellow fever
060.0 , Sylvatic
060.1 , Urban
060.9 , Yellow fever, unspecified
061 , Dengue
062 , Mosquito-borne viral encephalitis
062.0 , Japanese encephalitis
062.1 , Western equine encephalitis
062.2 , Eastern equine encephalitis
062.3 , St. Louis encephalitis
062.4 , Australian encephalitis
062.5 , California virus encephalitis
062.8 , Other specified mosquito-borne viral encephalitis
062.9 , Mosquito-borne viral encephalitis, unspecified
063 , Tick-borne viral encephalitis
063.0 , Russian spring-summer [taiga] encephalitis
063.1 , Louping ill
063.2 , Central European encephalitis
063.8 , Other specified tick-borne viral encephalitis
063.9 , Tick-borne viral encephalitis, unspecified
064 , Viral encephalitis transmitted by other and unspecified arthropods
065 , Arthropod-borne hemorrhagic fever
065.0 , Crimean hemorrhagic fever [CHF Congo virus]
065.1 , Omsk hemorrhagic fever
065.2 , Kyasanur Forest disease
065.3 , Other tick-borne hemorrhagic fever
065.4 , Mosquito-borne hemorrhagic fever
065.8 , Other specified arthropod-borne hemorrhagic fever
065.9 , Arthropod-borne hemorrhagic fever, unspecified
066 , Other arthropod-borne viral diseases
066.0 , Phlebotomus fever
066.1 , Tick-borne fever
066.2 , Venezuelan equine fever
066.3 , Other mosquito-borne fever
066.4 , West Nile fever
066.41 , West Nile fever with encephalitis
066.42 , West Nile fever with other neurologic manifestation
066.49 , West Nile fever with other complications
066.8 , Other specified arthropod-borne viral diseases
066.9 , Arthropod-borne viral disease, unspecified
070 , Viral hepatitis
0 , acute or unspecified, without mention of hepatitis delta
1 , acute or unspecified, with hepatitis delta
2 , chronic, without mention of hepatitis delta
3 , chronic, with hepatitis delta
070.0 , Viral hepatitis A with hepatic coma
070.1 , Viral hepatitis A without mention of hepatic coma
070.2 , Viral hepatitis B with hepatic coma
070.3 , Viral hepatitis B without mention of hepatic coma
070.4 , Other specified viral hepatitis with hepatic coma
070.41 , Acute hepatitis C with hepatic coma
070.42 , Hepatitis delta without mention of active hepatitis B disease with hepatic coma
070.43 , Hepatitis E with hepatic coma
070.44 , Chronic hepatitis C with hepatic coma
070.49 , Other specified viral hepatitis with hepatic coma
070.5 , Other specified viral hepatitis without mention of hepatic coma
070.51 , Acute hepatitis C without mention of hepatic coma
070.52 , Hepatitis delta without mention of active hepatitis B disease or hepatic coma
070.53 , Hepatitis E without mention of hepatic coma
070.54 , Chronic hepatitis C without mention of hepatic coma
070.59 , Other specified viral hepatitis without mention of hepatic coma
070.6 , Unspecified viral hepatitis with hepatic coma
070.7 , Unspecified viral hepatitis C
070.70 , Unspecified viral hepatitis C without hepatic coma
070.71 , Unspecified viral hepatitis C with hepatic coma
070.9 , Unspecified viral hepatitis without mention of hepatic coma
071 , Rabies
072 , Mumps
072.0 , Mumps orchitis
072.1 , Mumps meningitis
072.2 , Mumps encephalitis
072.3 , Mumps pancreatitis
072.7 , Mumps with other specified complications
072.71 , Mumps hepatitis
072.72 , Mumps polyneuropathy
072.79 , Other
072.8 , Mumps with unspecified complication
072.9 , Mumps without mention of complication
073 , Ornithosis
073.0 , With pneumonia
073.7 , With other specified complications
073.8 , With unspecified complication
073.9 , Ornithosis, unspecified
074 , Specific diseases due to Coxsackie virus
074.0 , Herpangina
074.1 , Epidemic pleurodynia
074.2 , Coxsackie carditis
074.20 , Coxsackie carditis, unspecified
074.21 , Coxsackie pericarditis
074.22 , Coxsackie endocarditis
074.23 , Coxsackie myocarditis
074.3 , Hand, foot, and mouth disease
074.8 , Other specified diseases due to Coxsackie virus
075 , Infectious mononucleosis
076 , Trachoma
076.0 , Initial stage
076.1 , Active stage
076.9 , Trachoma, unspecified
077 , Other diseases of conjunctiva due to viruses and Chlamydiae
077.0 , Inclusion conjunctivitis
077.1 , Epidemic keratoconjunctivitis
077.2 , Pharyngoconjunctival fever
077.3 , Other adenoviral conjunctivitis
077.4 , Epidemic hemorrhagic conjunctivitis
077.8 , Other viral conjunctivitis
077.9 , Unspecified diseases of conjunctiva due to viruses and Chlamydiae
077.98 , Due to Chlamydiae
077.99 , Due to viruses
078 , Other diseases due to viruses and Chlamydiae
078.0 , Molluscum contagiosum
078.1 , Viral warts
078.10 , Viral warts, unspecified
078.11 , Condyloma acuminatum
078.19 , Other specified viral warts
078.2 , Sweating fever
078.3 , Cat-scratch disease
078.4 , Foot and mouth disease
078.5 , Cytomegaloviral disease
078.6 , Hemorrhagic nephrosonephritis
078.7 , Arenaviral hemorrhagic fever
078.8 , Other specified diseases due to viruses and Chlamydiae
078.81 , Epidemic vertigo
078.82 , Epidemic vomiting syndrome
078.88 , Other specified diseases due to Chlamydiae
078.89 , Other specified diseases due to viruses
079 , Viral and chlamydial infection in conditions classified elsewhere and of unspecified site
079.0 , Adenovirus
079.1 , ECHO virus
079.2 , Coxsackie virus
079.3 , Rhinovirus
079.4 , Human papillomavirus
079.5 , Retrovirus
079.50 , Retrovirus, unspecified
079.51 , Human T-cell lymphotrophic virus, type I [HTLV-I]
079.52 , Human T-cell lymphotrophic virus, type II [HTLV-II]
079.53 , Human immunodeficiency virus, type 2 [HIV-2]
079.59 , Other specified retrovirus
079.6 , Respiratory syncytial virus (RSV)
079.8 , Other specified viral and chlamydial infections
079.81 , Hantavirus
079.82 , SARS-associated coronavirus
079.83 , Parvovirus B19
079.88 , Other specified chlamydial infection
079.89 , Other specified viral infection
079.9 , Unspecified viral and chlamydial infections
079.98 , Unspecified chlamydial infection
079.99 , Unspecified viral infection
080 , Louse-borne [epidemic] typhus
081 , Other typhus
081.0 , Murine [endemic] typhus
081.1 , Brill's disease
081.2 , Scrub typhus
081.9 , Typhus, unspecified
082 , Tick-borne rickettsioses
082.0 , Spotted fevers
082.1 , Boutonneuse fever
082.2 , North Asian tick fever
082.3 , Queensland tick typhus
082.4 , Ehrlichiosis
082.40 , Ehrlichiosis, unspecified
082.41 , Ehrlichiosis chaffeensis [E. chaffeensis]
082.49 , Other ehrlichiosis
082.8 , Other specified tick-borne rickettsioses
082.9 , Tick-borne rickettsiosis, unspecified
083 , Other rickettsioses
083.0 , Q fever
083.1 , Trench fever
083.2 , Rickettsialpox
083.8 , Other specified rickettsioses
083.9 , Rickettsiosis, unspecified
084 , Malaria
084.0 , Falciparum malaria [malignant tertian]
084.1 , Vivax malaria [benign tertian]
084.2 , Quartan malaria
084.3 , Ovale malaria
084.4 , Other malaria
084.5 , Mixed malaria
084.6 , Malaria, unspecified
084.7 , Induced malaria
084.8 , Blackwater fever
084.9 , Other pernicious complications of malaria
085 , Leishmaniasis
085.0 , Visceral [kala-azar]
085.1 , Cutaneous, urban
085.2 , Cutaneous, Asian desert
085.3 , Cutaneous, Ethiopian
085.4 , Cutaneous, American
085.5 , Mucocutaneous (American)
085.9 , Leishmaniasis, unspecified
086 , Trypanosomiasis
086.0 , Chagas' disease with heart involvement
086.1 , Chagas' disease with other organ involvement
086.2 , Chagas' disease without mention of organ involvement
086.3 , Gambian trypanosomiasis
086.4 , Rhodesian trypanosomiasis
086.5 , African trypanosomiasis, unspecified
086.9 , Trypanosomiasis, unspecified
087 , Relapsing fever
087.0 , Louse-borne
087.1 , Tick-borne
087.9 , Relapsing fever, unspecified
088 , Other arthropod-borne diseases
088.0 , Bartonellosis
088.8 , Other specified arthropod-borne diseases
088.81 , Lyme disease
088.82 , Babesiosis
088.89 , Other
088.9 , Arthropod-borne disease, unspecified
090 , Congenital syphilis
090.0 , Early congenital syphilis, symptomatic
090.1 , Early congenital syphilis, latent
090.2 , Early congenital syphilis, unspecified
090.3 , Syphilitic interstitial keratitis
090.4 , Juvenile neurosyphilis
090.40 , Juvenile neurosyphilis, unspecified
090.41 , Congenital syphilitic encephalitis
090.42 , Congenital syphilitic meningitis
090.49 , Other
090.5 , Other late congenital syphilis, symptomatic
090.6 , Late congenital syphilis, latent
090.7 , Late congenital syphilis, unspecified
090.9 , Congenital syphilis, unspecified
091 , Early syphilis, symptomatic
091.0 , Genital syphilis (primary)
091.1 , Primary anal syphilis
091.2 , Other primary syphilis
091.3 , Secondary syphilis of skin or mucous membranes
091.4 , Adenopathy due to secondary syphilis
091.5 , Uveitis due to secondary syphilis
091.50 , Syphilitic uveitis, unspecified
091.51 , Syphilitic chorioretinitis (secondary)
091.52 , Syphilitic iridocyclitis (secondary)
091.6 , Secondary syphilis of viscera and bone
091.61 , Secondary syphilitic periostitis
091.62 , Secondary syphilitic hepatitis
091.69 , Other viscera
091.7 , Secondary syphilis, relapse
091.8 , Other forms of secondary syphilis
091.81 , Acute syphilitic meningitis (secondary)
091.82 , Syphilitic alopecia
091.89 , Other
091.9 , Unspecified secondary syphilis
092 , Early syphilis, latent
092.0 , Early syphilis, latent, serological relapse after treatment
092.9 , Early syphilis, latent, unspecified
093 , Cardiovascular syphilis
093.0 , Aneurysm of aorta, specified as syphilitic
093.1 , Syphilitic aortitis
093.2 , Syphilitic endocarditis
093.20 , Valve, unspecified
093.21 , Mitral valve
093.22 , Aortic valve
093.23 , Tricuspid valve
093.24 , Pulmonary valve
093.8 , Other specified cardiovascular syphilis
093.81 , Syphilitic pericarditis
093.82 , Syphilitic myocarditis
093.89 , Other
093.9 , Cardiovascular syphilis, unspecified
094 , Neurosyphilis
094.0 , Tabes dorsalis
094.1 , General paresis
094.2 , Syphilitic meningitis
094.3 , Asymptomatic neurosyphilis
094.8 , Other specified neurosyphilis
094.81 , Syphilitic encephalitis
094.82 , Syphilitic Parkinsonism
094.83 , Syphilitic disseminated retinochoroiditis
094.84 , Syphilitic optic atrophy
094.85 , Syphilitic retrobulbar neuritis
094.86 , Syphilitic acoustic neuritis
094.87 , Syphilitic ruptured cerebral aneurysm
094.89 , Other
094.9 , Neurosyphilis, unspecified
095 , Other forms of late syphilis, with symptoms
095.0 , Syphilitic episcleritis
095.1 , Syphilis of lung
095.2 , Syphilitic peritonitis
095.3 , Syphilis of liver
095.4 , Syphilis of kidney
095.5 , Syphilis of bone
095.6 , Syphilis of muscle
095.7 , Syphilis of synovium, tendon, and bursa
095.8 , Other specified forms of late symptomatic syphilis
095.9 , Late symptomatic syphilis, unspecified
096 , Late syphilis, latent
097 , Other and unspecified syphilis
097.0 , Late syphilis, unspecified
097.1 , Latent syphilis, unspecified
097.9 , Syphilis, unspecified
098 , Gonococcal infections
098.0 , Acute, of lower genitourinary tract
098.1 , Acute, of upper genitourinary tract
098.10 , Gonococcal infection (acute) of upper genitourinary tract, site unspecified
098.11 , Gonococcal cystitis (acute)
098.12 , Gonococcal prostatitis (acute)
098.13 , Gonococcal epididymo-orchitis (acute)
098.14 , Gonococcal seminal vesiculitis (acute)
098.15 , Gonococcal cervicitis (acute)
098.16 , Gonococcal endometritis (acute)
098.17 , Gonococcal salpingitis, specified as acute
098.19 , Other
098.2 , Chronic, of lower genitourinary tract
098.3 , Chronic, of upper genitourinary tract
098.30 , Chronic gonococcal infection of upper genitourinary tract, site unspecified
098.31 , Gonococcal cystitis, chronic
098.32 , Gonococcal prostatitis, chronic
098.33 , Gonococcal epididymo-orchitis, chronic
098.34 , Gonococcal seminal vesiculitis, chronic
098.35 , Gonococcal cervicitis, chronic
098.36 , Gonococcal endometritis, chronic
098.37 , Gonococcal salpingitis (chronic)
098.39 , Other
098.4 , Gonococcal infection of eye
098.40 , Gonococcal conjunctivitis (neonatorum)
098.41 , Gonococcal iridocyclitis
098.42 , Gonococcal endophthalmia
098.43 , Gonococcal keratitis
098.49 , Other
098.5 , Gonococcal infection of joint
098.50 , Gonococcal arthritis
098.51 , Gonococcal synovitis and tenosynovitis
098.52 , Gonococcal bursitis
098.53 , Gonococcal spondylitis
098.59 , Other
098.6 , Gonococcal infection of pharynx
098.7 , Gonococcal infection of anus and rectum
098.8 , Gonococcal infection of other specified sites
098.81 , Gonococcal keratosis (blennorrhagica)
098.82 , Gonococcal meningitis
098.83 , Gonococcal pericarditis
098.84 , Gonococcal endocarditis
098.85 , Other gonococcal heart disease
098.86 , Gonococcal peritonitis
098.89 , Other
099 , Other venereal diseases
099.0 , Chancroid
099.1 , Lymphogranuloma venereum
099.2 , Granuloma inguinale
099.3 , Reiter's disease
099.4 , Other nongonococcal urethritis [NGU]
099.40 , Unspecified
099.41 , Chlamydia trachomatis
099.49 , Other specified organism
099.5 , Other venereal diseases due to Chlamydia trachomatis
099.50 , Unspecified site
099.51 , Pharynx
099.52 , Anus and rectum
099.53 , Lower genitourinary sites
099.54 , Other genitourinary sites
099.55 , Unspecified genitourinary site
099.56 , Peritoneum
099.59 , Other specified site
099.8 , Other specified venereal diseases
099.9 , Venereal disease, unspecified
100 , Leptospirosis
100.0 , Leptospirosis icterohemorrhagica
100.8 , Other specified leptospiral infections
100.81 , Leptospiral meningitis (aseptic)
100.89 , Other
100.9 , Leptospirosis, unspecified
101 , Vincent's angina
102 , Yaws
102.0 , Initial lesions
102.1 , Multiple papillomata and wet crab yaws
102.2 , Other early skin lesions
102.3 , Hyperkeratosis
102.4 , Gummata and ulcers
102.5 , Gangosa
102.6 , Bone and joint lesions
102.7 , Other manifestations
102.8 , Latent yaws
102.9 , Yaws, unspecified
103 , Pinta
103.0 , Primary lesions
